name,latitude,longitude,country_code
Zárate,-34.09584,-59.02423,AR
Yatayti Calle,-29.02831,-58.9123,AR
Yapeyú,-29.46907,-56.81837,AR
Colonia Wanda,-25.97337,-54.56304,AR
Villa Paranacito,-33.71381,-58.65844,AR
Villa Ortúzar,-34.57973,-58.46829,AR
Villa Ocampo,-28.48726,-59.35421,AR
María Grande,-31.66503,-59.89969,AR
Villa Mantero,-32.39837,-58.74607,AR
Villa Lugano,-34.67907,-58.47263,AR
Villa Hernandarias,-31.23097,-59.98464,AR
Villaguay,-31.86767,-59.02701,AR
Villa Gesell,-37.26394,-56.97304,AR
Villa Escolar,-26.62272,-58.66983,AR
Villa Elisa,-32.1632,-58.40082,AR
Villa de Mayo,-34.5108,-58.68059,AR
Villa del Rosario,-30.7957,-57.91234,AR
Verónica,-35.38732,-57.33839,AR
Veinticinco de Mayo,-27.37796,-54.74505,AR
Urdinarrain,-32.69104,-58.88842,AR
Ubajay,-31.79514,-58.31509,AR
Tres Capones,-28.00431,-55.60935,AR
Tortuguitas,-34.47513,-58.75367,AR
Tigre,-34.42603,-58.57962,AR
Tandil,-37.3287,-59.1369,AR
Tacuarendí,-28.41265,-59.26,AR
Tabossi,-31.80231,-59.93557,AR
Suipacha,-34.76881,-59.68683,AR
Sauce de Luna,-31.23955,-59.21753,AR
Sauce,-30.08552,-58.78733,AR
San Vicente,-35.0249,-58.42409,AR
San Vicente,-26.61667,-54.13333,AR
Santo Tomé,-28.55104,-56.04125,AR
Santos Lugares,-34.60306,-58.54074,AR
Santo Pipó,-27.14147,-55.40945,AR
Santa Rosa,-28.26572,-58.12053,AR
Santa María,-27.9349,-55.40742,AR
Santa Lucía,-28.98984,-59.10076,AR
Santa Elena,-30.94432,-59.78832,AR
Santa Anita,-32.17387,-58.78526,AR
Santa Ana,-30.90069,-57.93194,AR
Santa Ana,-27.36924,-55.58167,AR
San Salvador,-31.62494,-58.50517,AR
San Roque,-28.57385,-58.7095,AR
San Pedro,-33.67918,-59.66633,AR
San Pedro,-26.6218,-54.10902,AR
San Miguel del Monte,-35.43922,-58.80741,AR
San Miguel,-27.99833,-57.58735,AR
San Luis del Palmar,-27.50766,-58.55625,AR
San Lorenzo,-28.13442,-58.76685,AR
San Justo,-34.68107,-58.56379,AR
Villa San Justo,-32.44569,-58.43541,AR
San José de Feliciano,-30.38546,-58.75025,AR
San José,-27.76916,-55.78033,AR
San Javier,-30.58072,-59.92962,AR
San Javier,-27.87398,-55.13485,AR
San Isidro,-34.46971,-58.52111,AR
San Ignacio,-27.25865,-55.53897,AR
San Gustavo,-30.68979,-59.39881,AR
San Francisco de Laishi,-26.24399,-58.62962,AR
San Cosme,-27.37137,-58.51112,AR
San Clemente del Tuyú,-36.35419,-56.72568,AR
San Cayetano,-38.34677,-59.60938,AR
San Carlos,-27.74706,-55.89639,AR
San Antonio de Padua,-34.66267,-58.69819,AR
San Antonio de Areco,-34.25083,-59.46944,AR
San Antonio,-26.05993,-53.73578,AR
San Andrés de Giles,-34.44738,-59.44442,AR
